Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Format
India,New Zealand,drawn,,Chennai,"Oct 25-29, 1995",Test # 1309,Test 
India,New Zealand,India,8 wickets,Bengaluru,"Oct 18-20, 1995",Test # 1308,Test 
New Zealand,India,drawn,,Hamilton,"Mar 19-23, 1994",Test # 1255,Test 
New Zealand,India,drawn,,Auckland,"Feb 22-26, 1990",Test # 1139,Test 
New Zealand,India,drawn,,Napier,"Feb 9-13, 1990",Test # 1138,Test 
New Zealand,India,New Zealand,10 wickets,Christchurch,"Feb 2-5, 1990",Test # 1136,Test 
India,New Zealand,India,10 wickets,Hyderabad (Deccan),"Dec 2-6, 1988",Test # 1111,Test 
India,New Zealand,New Zealand,136 runs,Wankhede,"Nov 24-29, 1988",Test # 1109,Test 
India,New Zealand,India,172 runs,Bengaluru,"Nov 12-17, 1988",Test # 1107,Test 
New Zealand,India,drawn,,Auckland,"Mar 13-18, 1981",Test # 899,Test 
New Zealand,India,drawn,,Christchurch,"Mar 6-11, 1981",Test # 898,Test 
New Zealand,India,New Zealand,62 runs,Wellington,"Feb 21-25, 1981",Test # 897,Test 
India,New Zealand,India,216 runs,Chennai,"Nov 26-Dec 2, 1976",Test # 787,Test 
India,New Zealand,drawn,,Kanpur,"Nov 18-23, 1976",Test # 786,Test 
India,New Zealand,India,162 runs,Wankhede,"Nov 10-15, 1976",Test # 785,Test 
New Zealand,India,New Zealand,inns & 33 runs,Wellington,"Feb 13-17, 1976",Test # 772,Test 
New Zealand,India,drawn,,Christchurch,"Feb 5-10, 1976",Test # 771,Test 
New Zealand,India,India,8 wickets,Auckland,"Jan 24-28, 1976",Test # 769,Test 
India,New Zealand,drawn,,Hyderabad (Deccan),"Oct 15-20, 1969",Test # 661,Test 
India,New Zealand,New Zealand,167 runs,Nagpur,"Oct 3-8, 1969",Test # 660,Test 
India,New Zealand,India,60 runs,Brabourne,"Sep 25-30, 1969",Test # 659,Test 
New Zealand,India,India,272 runs,Auckland,"Mar 7-12, 1968",Test # 634,Test 
New Zealand,India,India,8 wickets,Wellington,"Feb 29-Mar 4, 1968",Test # 632,Test 
New Zealand,India,New Zealand,6 wickets,Christchurch,"Feb 22-27, 1968",Test # 631,Test 
New Zealand,India,India,5 wickets,Dunedin,"Feb 15-20, 1968",Test # 630,Test 
India,New Zealand,India,7 wickets,Delhi,"Mar 19-22, 1965",Test # 583,Test 
India,New Zealand,drawn,,Brabourne,"Mar 12-15, 1965",Test # 582,Test 
India,New Zealand,drawn,,Eden Gardens,"Mar 5-8, 1965",Test # 581,Test 
India,New Zealand,drawn,,Chennai,"Feb 27-Mar 2, 1965",Test # 579,Test 
India,New Zealand,India,inns & 109 runs,Chennai,"Jan 6-11, 1956",Test # 420,Test 
India,New Zealand,drawn,,Eden Gardens,"Dec 28, 1955 - Jan 2, 1956",Test # 419,Test 
India,New Zealand,drawn,,Delhi,"Dec 16-21, 1955",Test # 418,Test 
India,New Zealand,India,inns & 27 runs,Brabourne,"Dec 2-7, 1955",Test # 417,Test 
India,New Zealand,drawn,,Hyderabad (Deccan),"Nov 19-24, 1955",Test # 416,Test 
India,New Zealand,India,4 wickets,Dubai (DICS),"Mar 9, 2025",ODI # 4858,ODI 
India,New Zealand,India,44 runs,Dubai (DICS),"Mar 2, 2025",ODI # 4852,ODI 
India,New Zealand,India,70 runs,Wankhede,"Nov 15, 2023",ODI # 4703,ODI 
India,New Zealand,India,4 wickets,Dharamsala,"Oct 22, 2023",ODI # 4678,ODI 
India,New Zealand,India,90 runs,Indore,"Jan 24, 2023",ODI # 4511,ODI 
India,New Zealand,India,8 wickets,Raipur,"Jan 21, 2023",ODI # 4509,ODI 
India,New Zealand,India,12 runs,Hyderabad,"Jan 18, 2023",ODI # 4507,ODI 
New Zealand,India,no result,,Christchurch,"Nov 30, 2022",ODI # 4489,ODI 
New Zealand,India,no result,,Hamilton,"Nov 27, 2022",ODI # 4487,ODI 
New Zealand,India,New Zealand,7 wickets,Auckland,"Nov 25, 2022",ODI # 4483,ODI 
New Zealand,India,New Zealand,5 wickets,Mount Maunganui,"Feb 11, 2020",ODI # 4243,ODI 
New Zealand,India,New Zealand,22 runs,Auckland,"Feb 8, 2020",ODI # 4239,ODI 
New Zealand,India,New Zealand,4 wickets,Hamilton,"Feb 5, 2020",ODI # 4235,ODI 
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190,ODI 
New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019",ODI # 4092,ODI 
New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019",ODI # 4091,ODI 
New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019",ODI # 4088,ODI 
New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019",ODI # 4085,ODI 
New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019",ODI # 4082,ODI 
India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017",ODI # 3932,ODI 
India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017",ODI # 3931,ODI 
India,New Zealand,New Zealand,6 wickets,Wankhede,"Oct 22, 2017",ODI # 3928,ODI 
India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016",ODI # 3800,ODI 
India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016",ODI # 3799,ODI 
India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016",ODI # 3798,ODI 
India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016",ODI # 3797,ODI 
India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016",ODI # 3796,ODI 
New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467,ODI 
New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465,ODI 
New Zealand,India,tied,,Auckland,"Jan 25, 2014",ODI # 3462,ODI 
New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458,ODI 
New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456,ODI 
India,New Zealand,India,8 wickets,Chennai,"Dec 10, 2010",ODI # 3077,ODI 
India,New Zealand,India,5 wickets,Bengaluru,"Dec 7, 2010",ODI # 3076,ODI 
India,New Zealand,India,9 wickets,Vadodara,"Dec 4, 2010",ODI # 3074,ODI 
India,New Zealand,India,8 wickets,Jaipur,"Dec 1, 2010",ODI # 3072,ODI 
India,New Zealand,India,40 runs,Guwahati,"Nov 28, 2010",ODI # 3070,ODI 
India,New Zealand,India,105 runs,Dambulla,"Aug 25, 2010",ODI # 3039,ODI 
India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010",ODI # 3030,ODI 
India,New Zealand,India,6 wickets,Colombo (RPS),"Sep 11, 2009",ODI # 2886,ODI 
New Zealand,India,New Zealand,8 wickets,Auckland,"Mar 14, 2009",ODI # 2825,ODI 
New Zealand,India,India,84 runs,Hamilton,"Mar 11, 2009",ODI # 2824,ODI 
New Zealand,India,India,58 runs,Christchurch,"Mar 8, 2009",ODI # 2823,ODI 
New Zealand,India,no result,,Wellington,"Mar 6, 2009",ODI # 2822,ODI 
New Zealand,India,India,53 runs,Napier,"Mar 3, 2009",ODI # 2821,ODI 
India,New Zealand,New Zealand,6 wickets,Harare,"Sep 6, 2005",ODI # 2281,ODI 
India,New Zealand,India,6 wickets,Harare,"Sep 2, 2005",ODI # 2278,ODI 
India,New Zealand,New Zealand,51 runs,Bulawayo,"Aug 26, 2005",ODI # 2273,ODI 
India,New Zealand,India,145 runs,Hyderabad (Deccan),"Nov 15, 2003",ODI # 2062,ODI 
India,New Zealand,New Zealand,4 wickets,Cuttack,"Nov 6, 2003",ODI # 2056,ODI 
India,New Zealand,no result,,Chennai,"Oct 23, 2003",ODI # 2051,ODI 
India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988,ODI 
New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003",ODI # 1935,ODI 
New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003",ODI # 1933,ODI 
New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003",ODI # 1930,ODI 
New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003",ODI # 1929,ODI 
New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003",ODI # 1928,ODI 
New Zealand,India,New Zealand,35 runs,Napier,"Dec 29, 2002",ODI # 1927,ODI 
New Zealand,India,New Zealand,3 wickets,Auckland,"Dec 26, 2002",ODI # 1926,ODI 
India,New Zealand,India,7 wickets,Colombo (SSC),"Aug 2, 2001",ODI # 1743,ODI 
India,New Zealand,New Zealand,67 runs,Colombo (RPS),"Jul 26, 2001",ODI # 1739,ODI 
India,New Zealand,New Zealand,84 runs,Colombo (RPS),"Jul 20, 2001",ODI # 1736,ODI 
India,New Zealand,New Zealand,4 wickets,Nairobi (Gym),"Oct 15, 2000",ODI # 1639,ODI 
India,New Zealand,India,7 wickets,Delhi,"Nov 17, 1999",ODI # 1526,ODI 
India,New Zealand,New Zealand,48 runs,Guwahati,"Nov 14, 1999",ODI # 1525,ODI 
India,New Zealand,India,14 runs,Gwalior,"Nov 11, 1999",ODI # 1524,ODI 
India,New Zealand,India,174 runs,Hyderabad (Deccan),"Nov 8, 1999",ODI # 1523,ODI 
India,New Zealand,New Zealand,43 runs,Rajkot,"Nov 5, 1999",ODI # 1522,ODI 
India,New Zealand,New Zealand,5 wickets,Nottingham,"Jun 12, 1999",ODI # 1480,ODI 
New Zealand,India,New Zealand,70 runs,Christchurch,"Jan 19, 1999",ODI # 1387,ODI 
New Zealand,India,India,5 wickets,Auckland,"Jan 16, 1999",ODI # 1385,ODI 
New Zealand,India,no result,,Wellington,"Jan 14, 1999",ODI # 1383,ODI 
New Zealand,India,India,2 wickets,Napier,"Jan 12, 1999",ODI # 1381,ODI 
New Zealand,India,New Zealand,5 wickets,Taupo,"Jan 9, 1999",ODI # 1378,ODI 
India,New Zealand,no result,,Colombo (SSC),"Jul 3, 1998",ODI # 1342,ODI 
India,New Zealand,no result,,Colombo (RPS),"Jun 23, 1998",ODI # 1340,ODI 
India,New Zealand,New Zealand,4 wickets,Sharjah,"Apr 20, 1998",ODI # 1323,ODI 
India,New Zealand,India,15 runs,Sharjah,"Apr 17, 1998",ODI # 1319,ODI 
India,New Zealand,India,8 wickets,Bengaluru,"May 14, 1997",ODI # 1206,ODI 
India,New Zealand,India,6 wickets,Brabourne,"Nov 29, 1995",ODI # 1019,ODI 
India,New Zealand,New Zealand,99 runs,Nagpur,"Nov 26, 1995",ODI # 1018,ODI 
India,New Zealand,India,5 wickets,Pune,"Nov 24, 1995",ODI # 1017,ODI 
India,New Zealand,India,6 wickets,Amritsar,"Nov 18, 1995",ODI # 1016,ODI 
India,New Zealand,New Zealand,8 wickets,Jamshedpur,"Nov 15, 1995",ODI # 1015,ODI 
New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995",ODI # 976,ODI 
India,New Zealand,India,107 runs,Delhi,"Nov 3, 1994",ODI # 944,ODI 
India,New Zealand,India,7 wickets,Vadodara,"Oct 28, 1994",ODI # 939,ODI 
New Zealand,India,New Zealand,6 wickets,Christchurch,"Apr 2, 1994",ODI # 899,ODI 
New Zealand,India,India,12 runs,Wellington,"Mar 30, 1994",ODI # 898,ODI 
New Zealand,India,India,7 wickets,Auckland,"Mar 27, 1994",ODI # 897,ODI 
New Zealand,India,New Zealand,28 runs,Napier,"Mar 25, 1994",ODI # 896,ODI 
New Zealand,India,New Zealand,4 wickets,Dunedin,"Mar 12, 1992",ODI # 740,ODI 
New Zealand,India,India,1 run,Wellington,"Mar 6, 1990",ODI # 616,ODI 
New Zealand,India,New Zealand,108 runs,Dunedin,"Mar 1, 1990",ODI # 612,ODI 
India,New Zealand,India,2 wickets,Vadodara,"Dec 17, 1988",ODI # 543,ODI 
India,New Zealand,India,53 runs,Indore,"Dec 15, 1988",ODI # 541,ODI 
India,New Zealand,India,5 wickets,Cuttack,"Dec 12, 1988",ODI # 538,ODI 
India,New Zealand,India,4 wickets,Visakhapatnam,"Dec 10, 1988",ODI # 536,ODI 
India,New Zealand,India,52 runs,Sharjah,"Apr 1, 1988",ODI # 517,ODI 
India,New Zealand,India,73 runs,Sharjah,"Mar 27, 1988",ODI # 513,ODI 
India,New Zealand,India,9 wickets,Nagpur,"Oct 31, 1987",ODI # 474,ODI 
India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987",ODI # 458,ODI 
India,New Zealand,India,3 wickets,Sharjah,"Apr 10, 1986",ODI # 381,ODI 
India,New Zealand,India,22 runs,Launceston,"Feb 2, 1986",ODI # 361,ODI 
India,New Zealand,India,5 wickets,Adelaide,"Jan 25, 1986",ODI # 356,ODI 
India,New Zealand,New Zealand,5 wickets,Melbourne,"Jan 23, 1986",ODI # 355,ODI 
India,New Zealand,New Zealand,3 wickets,W.A.C.A,"Jan 18, 1986",ODI # 352,ODI 
India,New Zealand,India,5 wickets,Brisbane,"Jan 11, 1986",ODI # 348,ODI 
India,New Zealand,India,7 wickets,Sydney,"Mar 5, 1985",ODI # 316,ODI 
New Zealand,India,New Zealand,57 runs,Hamilton,"Feb 15, 1981",ODI # 117,ODI 
New Zealand,India,New Zealand,78 runs,Auckland,"Feb 14, 1981",ODI # 116,ODI 
India,New Zealand,New Zealand,22 runs,Brisbane,"Jan 18, 1981",ODI # 109,ODI 
India,New Zealand,New Zealand,10 wickets,Melbourne,"Jan 10, 1981",ODI # 105,ODI 
India,New Zealand,India,6 runs,Adelaide,"Dec 23, 1980",ODI # 103,ODI 
India,New Zealand,New Zealand,3 wickets,Brisbane,"Dec 21, 1980",ODI # 102,ODI 
India,New Zealand,India,5 runs,W.A.C.A,"Dec 9, 1980",ODI # 99,ODI 
India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979",ODI # 65,ODI 
New Zealand,India,New Zealand,80 runs,Auckland,"Feb 22, 1976",ODI # 36,ODI 
New Zealand,India,New Zealand,9 wickets,Christchurch,"Feb 21, 1976",ODI # 35,ODI 
India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975",ODI # 28,ODI 
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023",T20I # 1992,T20I 
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023",T20I # 1991,T20I 
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023",T20I # 1990,T20I 
New Zealand,India,tied,,Napier,"Nov 22, 2022",T20I # 1911,T20I 
New Zealand,India,India,65 runs,Mount Maunganui,"Nov 20, 2022",T20I # 1898,T20I 
India,New Zealand,India,73 runs,Eden Gardens,"Nov 21, 2021",T20I # 1446,T20I 
India,New Zealand,India,7 wickets,Ranchi,"Nov 19, 2021",T20I # 1440,T20I 
India,New Zealand,India,5 wickets,Jaipur,"Nov 17, 2021",T20I # 1434,T20I 
India,New Zealand,New Zealand,8 wickets,Dubai (DICS),"Oct 31, 2021",T20I # 1381,T20I 
New Zealand,India,India,7 runs,Mount Maunganui,"Feb 2, 2020",T20I # 1037,T20I 
New Zealand,India,tied,,Wellington,"Jan 31, 2020",T20I # 1036,T20I 
New Zealand,India,tied,,Hamilton,"Jan 29, 2020",T20I # 1035,T20I 
New Zealand,India,India,7 wickets,Auckland,"Jan 26, 2020",T20I # 1034,T20I 
New Zealand,India,India,6 wickets,Auckland,"Jan 24, 2020",T20I # 1031,T20I 
New Zealand,India,New Zealand,4 runs,Hamilton,"Feb 10, 2019",T20I # 738,T20I 
New Zealand,India,India,7 wickets,Auckland,"Feb 8, 2019",T20I # 737,T20I 
New Zealand,India,New Zealand,80 runs,Wellington,"Feb 6, 2019",T20I # 735,T20I 
India,New Zealand,India,6 runs,Thiruvananthapuram,"Nov 7, 2017",T20I # 632,T20I 
India,New Zealand,New Zealand,40 runs,Rajkot,"Nov 4, 2017",T20I # 631,T20I 
India,New Zealand,India,53 runs,Delhi,"Nov 1, 2017",T20I # 630,T20I 
India,New Zealand,New Zealand,47 runs,Nagpur,"Mar 15, 2016",T20I # 535,T20I 
India,New Zealand,New Zealand,1 run,Chennai,"Sep 11, 2012",T20I # 261,T20I 
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",T20I # 85,T20I 
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",T20I # 84,T20I 
India,New Zealand,New Zealand,10 runs,Johannesburg,"Sep 16, 2007",T20I # 32,T20I 
South Africa,India,India,7 wickets,Cape Town,"Jan 3-4, 2024",Test # 2522,Test 
South Africa,India,South Africa,inns & 32 runs,Centurion,"Dec 26-28, 2023",Test # 2520,Test 
South Africa,India,South Africa,7 wickets,Cape Town,"Jan 11-14, 2022",Test # 2448,Test 
South Africa,India,South Africa,7 wickets,Johannesburg,"Jan 3-6, 2022",Test # 2445,Test 
South Africa,India,India,113 runs,Centurion,"Dec 26-30, 2021",Test # 2443,Test 
India,South Africa,India,inns & 202 runs,Ranchi,"Oct 19-22, 2019",Test # 2365,Test 
India,South Africa,India,inns & 137 runs,Pune,"Oct 10-13, 2019",Test # 2364,Test 
India,South Africa,India,203 runs,Visakhapatnam,"Oct 2-6, 2019",Test # 2363,Test 
South Africa,India,India,63 runs,Johannesburg,"Jan 24-27, 2018",Test # 2294,Test 
South Africa,India,South Africa,135 runs,Centurion,"Jan 13-17, 2018",Test # 2293,Test 
South Africa,India,South Africa,72 runs,Cape Town,"Jan 5-8, 2018",Test # 2292,Test 
India,South Africa,India,337 runs,Delhi,"Dec 3-7, 2015",Test # 2191,Test 
India,South Africa,India,124 runs,Nagpur,"Nov 25-27, 2015",Test # 2189,Test 
India,South Africa,drawn,,Bengaluru,"Nov 14-18, 2015",Test # 2188,Test 
India,South Africa,India,108 runs,Mohali,"Nov 5-7, 2015",Test # 2186,Test 
South Africa,India,South Africa,10 wickets,Durban,"Dec 26-30, 2013",Test # 2111,Test 
South Africa,India,drawn,,Johannesburg,"Dec 18-22, 2013",Test # 2108,Test 
South Africa,India,drawn,,Cape Town,"Jan 2-6, 2011",Test # 1988,Test 
South Africa,India,India,87 runs,Durban,"Dec 26-29, 2010",Test # 1987,Test 
South Africa,India,South Africa,inns & 25 runs,Centurion,"Dec 16-20, 2010",Test # 1985,Test 
India,South Africa,India,inns & 57 runs,Eden Gardens,"Feb 14-18, 2010",Test # 1952,Test 
India,South Africa,South Africa,inns & 6 runs,Nagpur,"Feb 6-9, 2010",Test # 1951,Test 
India,South Africa,India,8 wickets,Kanpur,"Apr 11-13, 2008",Test # 1873,Test 
India,South Africa,South Africa,inns & 90 runs,Ahmedabad,"Apr 3-5, 2008",Test # 1871,Test 
India,South Africa,drawn,,Chennai,"Mar 26-30, 2008",Test # 1870,Test 
South Africa,India,South Africa,5 wickets,Cape Town,"Jan 2-6, 2007",Test # 1827,Test 
South Africa,India,South Africa,174 runs,Durban,"Dec 26-30, 2006",Test # 1825,Test 
South Africa,India,India,123 runs,Johannesburg,"Dec 15-18, 2006",Test # 1823,Test 
India,South Africa,India,8 wickets,Eden Gardens,"Nov 28-Dec 2, 2004",Test # 1724,Test 
India,South Africa,drawn,,Kanpur,"Nov 20-24, 2004",Test # 1722,Test 
South Africa,India,drawn,,Gqeberha,"Nov 16-20, 2001",Test # 1569,Test 
South Africa,India,South Africa,9 wickets,Bloemfontein,"Nov 3-6, 2001",Test # 1564,Test 
India,South Africa,South Africa,inns & 71 runs,Bengaluru,"Mar 2-6, 2000",Test # 1486,Test 
India,South Africa,South Africa,4 wickets,Wankhede,"Feb 24-26, 2000",Test # 1484,Test 
South Africa,India,drawn,,Johannesburg,"Jan 16-20, 1997",Test # 1350,Test 
South Africa,India,South Africa,282 runs,Cape Town,"Jan 2-6, 1997",Test # 1349,Test 
South Africa,India,South Africa,328 runs,Durban,"Dec 26-28, 1996",Test # 1347,Test 
India,South Africa,India,280 runs,Kanpur,"Dec 8-12, 1996",Test # 1344,Test 
India,South Africa,South Africa,329 runs,Eden Gardens,"Nov 27-Dec 1, 1996",Test # 1341,Test 
India,South Africa,India,64 runs,Ahmedabad,"Nov 20-23, 1996",Test # 1338,Test 
South Africa,India,drawn,,Cape Town,"Jan 2-6, 1993",Test # 1209,Test 
South Africa,India,South Africa,9 wickets,Gqeberha,"Dec 26-29, 1992",Test # 1206,Test 
South Africa,India,drawn,,Johannesburg,"Nov 26-30, 1992",Test # 1201,Test 
South Africa,India,drawn,,Durban,"Nov 13-17, 1992",Test # 1200,Test 
South Africa,India,India,78 runs,Paarl,"Dec 21, 2023",ODI # 4716,ODI 
South Africa,India,South Africa,8 wickets,Gqeberha,"Dec 19, 2023",ODI # 4714,ODI 
South Africa,India,India,8 wickets,Johannesburg,"Dec 17, 2023",ODI # 4713,ODI 
India,South Africa,India,243 runs,Eden Gardens,"Nov 5, 2023",ODI # 4694,ODI 
India,South Africa,India,7 wickets,Delhi,"Oct 11, 2022",ODI # 4472,ODI 
India,South Africa,India,7 wickets,Ranchi,"Oct 9, 2022",ODI # 4471,ODI 
India,South Africa,South Africa,9 runs,Lucknow,"Oct 6, 2022",ODI # 4470,ODI 
South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349,ODI 
South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346,ODI 
South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344,ODI 
India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150,ODI 
South Africa,India,India,8 wickets,Centurion,"Feb 16, 2018",ODI # 3978,ODI 
South Africa,India,India,73 runs,Gqeberha,"Feb 13, 2018",ODI # 3976,ODI 
South Africa,India,South Africa,5 wickets,Johannesburg,"Feb 10, 2018",ODI # 3973,ODI 
South Africa,India,India,124 runs,Cape Town,"Feb 7, 2018",ODI # 3971,ODI 
South Africa,India,India,9 wickets,Centurion,"Feb 4, 2018",ODI # 3970,ODI 
South Africa,India,India,6 wickets,Durban,"Feb 1, 2018",ODI # 3969,ODI 
India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017",ODI # 3886,ODI 
India,South Africa,South Africa,214 runs,Wankhede,"Oct 25, 2015",ODI # 3700,ODI 
India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",ODI # 3698,ODI 
India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",ODI # 3695,ODI 
India,South Africa,India,22 runs,Indore,"Oct 14, 2015",ODI # 3692,ODI 
India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",ODI # 3689,ODI 
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610,ODI 
South Africa,India,no result,,Centurion,"Dec 11, 2013",ODI # 3444,ODI 
South Africa,India,South Africa,134 runs,Durban,"Dec 8, 2013",ODI # 3443,ODI 
South Africa,India,South Africa,141 runs,Johannesburg,"Dec 5, 2013",ODI # 3442,ODI 
India,South Africa,India,26 runs,Cardiff,"Jun 6, 2013",ODI # 3363,ODI 
India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128,ODI 
South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011",ODI # 3087,ODI 
South Africa,India,South Africa,48 runs,Gqeberha,"Jan 21, 2011",ODI # 3084,ODI 
South Africa,India,India,2 wickets,Cape Town,"Jan 18, 2011",ODI # 3082,ODI 
South Africa,India,India,1 run,Johannesburg,"Jan 15, 2011",ODI # 3080,ODI 
South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011",ODI # 3079,ODI 
India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010",ODI # 2963,ODI 
India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010",ODI # 2962,ODI 
India,South Africa,India,1 run,Jaipur,"Feb 21, 2010",ODI # 2961,ODI 
India,South Africa,India,6 wickets,Belfast,"Jul 1, 2007",ODI # 2595,ODI 
India,South Africa,India,6 wickets,Belfast,"Jun 29, 2007",ODI # 2593,ODI 
India,South Africa,South Africa,4 wickets,Belfast,"Jun 26, 2007",ODI # 2592,ODI 
South Africa,India,South Africa,9 wickets,Centurion,"Dec 3, 2006",ODI # 2458,ODI 
South Africa,India,South Africa,80 runs,Gqeberha,"Nov 29, 2006",ODI # 2452,ODI 
South Africa,India,South Africa,106 runs,Cape Town,"Nov 26, 2006",ODI # 2449,ODI 
South Africa,India,South Africa,157 runs,Durban,"Nov 22, 2006",ODI # 2447,ODI 
India,South Africa,India,5 wickets,Wankhede,"Nov 28, 2005",ODI # 2300,ODI 
India,South Africa,South Africa,10 wickets,Eden Gardens,"Nov 25, 2005",ODI # 2299,ODI 
India,South Africa,India,6 wickets,Bengaluru,"Nov 19, 2005",ODI # 2298,ODI 
India,South Africa,South Africa,5 wickets,Hyderabad,"Nov 16, 2005",ODI # 2297,ODI 
India,South Africa,no result,,Dhaka,"Apr 21, 2003",ODI # 2007,ODI 
India,South Africa,South Africa,5 wickets,Dhaka,"Apr 18, 2003",ODI # 2006,ODI 
India,South Africa,India,153 runs,Dhaka,"Apr 13, 2003",ODI # 2002,ODI 
India,South Africa,India,10 runs,Colombo (RPS),"Sep 25, 2002",ODI # 1886,ODI 
South Africa,India,South Africa,6 wickets,Durban,"Oct 26, 2001",ODI # 1766,ODI 
South Africa,India,South Africa,46 runs,East London,"Oct 19, 2001",ODI # 1762,ODI 
South Africa,India,India,41 runs,Centurion,"Oct 10, 2001",ODI # 1757,ODI 
South Africa,India,South Africa,6 wickets,Johannesburg,"Oct 5, 2001",ODI # 1752,ODI 
India,South Africa,India,95 runs,Nairobi (Gym),"Oct 13, 2000",ODI # 1638,ODI 
India,South Africa,South Africa,6 wickets,Sharjah,"Mar 27, 2000",ODI # 1581,ODI 
India,South Africa,South Africa,10 wickets,Sharjah,"Mar 22, 2000",ODI # 1577,ODI 
India,South Africa,South Africa,10 runs,Nagpur,"Mar 19, 2000",ODI # 1576,ODI 
India,South Africa,India,4 wickets,Vadodara,"Mar 17, 2000",ODI # 1575,ODI 
India,South Africa,South Africa,2 wickets,Faridabad,"Mar 15, 2000",ODI # 1574,ODI 
India,South Africa,India,6 wickets,Jamshedpur,"Mar 12, 2000",ODI # 1573,ODI 
India,South Africa,India,3 wickets,Kochi,"Mar 9, 2000",ODI # 1572,ODI 
India,South Africa,South Africa,26 runs,Nairobi (Gym),"Oct 3, 1999",ODI # 1509,ODI 
India,South Africa,India,8 wickets,Nairobi (Gym),"Sep 26, 1999",ODI # 1504,ODI 
India,South Africa,South Africa,4 wickets,Hove,"May 15, 1999",ODI # 1444,ODI 
South Africa,India,South Africa,17 runs,Durban,"Feb 13, 1997",ODI # 1177,ODI 
South Africa,India,no result,,Durban,"Feb 12, 1997",ODI # 1176,ODI 
South Africa,India,South Africa,6 wickets,East London,"Feb 4, 1997",ODI # 1173,ODI 
South Africa,India,South Africa,6 wickets,Gqeberha,"Feb 2, 1997",ODI # 1172,ODI 
South Africa,India,South Africa,39 runs,Bloemfontein,"Jan 23, 1997",ODI # 1167,ODI 
India,South Africa,India,74 runs,Wankhede,"Dec 14, 1996",ODI # 1151,ODI 
India,South Africa,India,35 runs,Wankhede,"Nov 6, 1996",ODI # 1138,ODI 
India,South Africa,South Africa,5 wickets,Rajkot,"Oct 29, 1996",ODI # 1132,ODI 
India,South Africa,South Africa,27 runs,Jaipur,"Oct 23, 1996",ODI # 1130,ODI 
India,South Africa,South Africa,47 runs,Hyderabad (Deccan),"Oct 17, 1996",ODI # 1127,ODI 
India,South Africa,South Africa,38 runs,Sharjah,"Apr 19, 1996",ODI # 1101,ODI 
